"No.","Time","Source","Destination","Protocol","Length","Info"
"400766","5738.408064","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","232","Standard query response 0x7bb2 A mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdeus22.eastus.cloudapp.azure.com A 52.168.117.174"
"400767","5738.408846","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","277","Standard query response 0x928a AAAA mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdeus22.eastus.cloudapp.azure.com SOA ns1-201.azure-dns.com"
"400834","5739.822110","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","108","Standard query 0x9896 AAAA applet-bundles.grammarly.net"
"400835","5739.822313","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","108","Standard query 0x60ca A applet-bundles.grammarly.net"
"400836","5739.825471","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","193","Standard query response 0x9896 AAAA applet-bundles.grammarly.net SOA ns-1253.awsdns-28.org"
"400837","5739.825471","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","172","Standard query response 0x60ca A applet-bundles.grammarly.net A 18.161.229.94 A 18.161.229.44 A 18.161.229.112 A 18.161.229.87"
"400875","5749.711532","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","101","Standard query 0x5adf AAAA config.edge.skype.com"
"400876","5749.711956","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","101","Standard query 0x5c39 A config.edge.skype.com"
"400877","5749.712460","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","101","Standard query 0x05dc HTTPS config.edge.skype.com"
"400878","5749.714845","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","288","Standard query response 0x05dc HTTPS config.edge.skype.com CNAME config.edge.skype.com.trafficmanager.net CNAME l-0007.config.skype.com CNAME config-edge-skype.l-0007.l-msedge.net SOA ns1.l-msedge.net"
"400879","5749.726077","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","261","Standard query response 0x5c39 A config.edge.skype.com CNAME config.edge.skype.com.trafficmanager.net CNAME l-0007.config.skype.com CNAME config-edge-skype.l-0007.l-msedge.net CNAME l-0007.l-msedge.net A 13.107.42.16"
